run_name,mode,linear_l2,val_ic_mean,val_ic_ir,val_pearson_ic_mean,val_pearson_ic_ir,val_ic_zero_mean,val_ic_zero_ir,val_pearson_ic_zero_mean,val_pearson_ic_zero_ir,train_ic_mean,train_ic_ir,train_pearson_ic_mean,train_pearson_ic_ir,train_ic_zero_mean,train_ic_zero_ir,train_pearson_ic_zero_mean,train_pearson_ic_zero_ir,n_train_samples,n_val_samples,n_train_fit_samples,elapsed_sec,output_dir
mode_mean__l2_1em06,mean,1e-06,0.006322361839096343,0.09235534604646611,0.004028531668626186,0.05774445239751656,0.0014509955824781034,0.08837620762433016,0.00017978412359312122,0.01711510159027806,0.00945787163876527,0.14396603741092134,0.03518153664485322,0.3247337505027028,0.0034255622871810056,0.23562723089015367,0.011337625223739963,0.2056770434059066,278899,176666,278899,980.5621819496155,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_mean__l2_1em06
mode_mean__l2_0p0001,mean,0.0001,0.006311056546792264,0.0922420305362631,0.0040097073347403304,0.057476307144963705,0.0014215865646895094,0.08626634683368758,0.00018098751791958105,0.017221455416421144,0.009448399886324734,0.14387001250483478,0.035152932109274296,0.32449442518473676,0.0034775737318981786,0.23982310937598608,0.01133524221244421,0.20563234298516087,278899,176666,278899,369.38430523872375,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_mean__l2_0p0001
mode_mean__l2_0p01,mean,0.01,0.006210883888024699,0.09094480996961528,0.0039782855157163444,0.057028884968602006,0.001417783405307249,0.0860391328614014,0.0001829617514822771,0.01739433027457354,0.009371561515986941,0.14275654859699846,0.03510324061817484,0.3240878303570687,0.003537792020469669,0.24420972380686642,0.011330601329425451,0.20555621343119104,278899,176666,278899,221.23112559318542,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_mean__l2_0p01
mode_mean__l2_0p1,mean,0.1,0.006210266782440737,0.09092878254627793,0.003977525711808035,0.057017793533207135,0.0014034330336873937,0.08516661255767972,0.00018302675248017632,0.01739975496120071,0.009376403233003554,0.14285006988142662,0.035102048768109864,0.3240792915213759,0.0035308945308715695,0.2438293947626557,0.011330439567522612,0.2055545659291399,278899,176666,278899,220.36949014663696,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_mean__l2_0p1
mode_article__l2_0p01,article,0.01,0.00042297620207138386,0.006053707508885106,-0.0006847944894901104,-0.009745420936739286,-0.001199442522729824,-0.07486861403736514,-6.139164723417501e-05,-0.006557769805992496,0.0031870702975178695,0.04888636634633616,0.001264848233544419,0.01946224338469378,0.000646282860012614,0.04846165479770944,3.353074730733609e-05,0.00328100055320095,278899,176666,342616,278.27689361572266,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_article__l2_0p01
mode_article__l2_0p1,article,0.1,0.00041027927330913064,0.0058728229550513355,-0.0006825218292919129,-0.00971320241285144,-0.0011773610525573958,-0.07343112137156933,-6.125403061444157e-05,-0.006540513359341565,0.0031783638375924273,0.04875494082853311,0.0012650382290864313,0.019463552815326298,0.0006443350074940141,0.04831968638983546,3.365131443528075e-05,0.0032931776600186595,278899,176666,342616,282.272084236145,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_article__l2_0p1
mode_article__l2_1em06,article,1e-06,0.00037431332596245216,0.005389233400463947,-0.0008819619468509631,-0.012535877950665027,-0.0013706255849698272,-0.08522776093317265,-7.45953196639315e-05,-0.008270262727742237,0.003117100900260671,0.04804269155469193,0.0012371032756787797,0.019177370268870206,0.0006013405607474585,0.04505614677095369,2.231187030038257e-05,0.0021608799769145693,278899,176666,342616,757.5565128326416,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_article__l2_1em06
mode_article__l2_0p0001,article,0.0001,0.0003426496268623396,0.004917752004064018,-0.0007911364116963898,-0.011251898900100213,-0.0013573651191499834,-0.08461120284265003,-6.871063718482457e-05,-0.007487615670681291,0.0032009221278312848,0.049226255292193745,0.001250618104218085,0.01932144637092493,0.000633071613051988,0.047372285837514135,2.7711908367052888e-05,0.0026966946771039535,278899,176666,342616,284.1007387638092,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_article__l2_0p0001
mode_sum_head__l2_1em06,sum_head,1e-06,-0.00020902375839199324,-0.003192231874881892,0.001860020375842241,0.026783999973223355,0.0014852557847683805,0.09107646728689943,-0.00022317591656357313,-0.016571153231732298,0.006522734581630618,0.09869413107229923,0.024179467742482794,0.2630175485124291,0.003461456985260333,0.22504292855853533,0.007206190738021328,0.1991400360494289,278899,176666,278899,108.22177815437317,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_sum_head__l2_1em06
mode_sum_head__l2_0p0001,sum_head,0.0001,-0.00020902375839199324,-0.003192231874881892,0.001860020375842241,0.026783999973223355,0.0014852557847683805,0.09107646728689943,-0.00022317591656357313,-0.016571153231732298,0.006522734581630618,0.09869413107229923,0.024179467742482794,0.2630175485124291,0.003461456985260333,0.22504292855853533,0.007206190738021328,0.1991400360494289,278899,176666,278899,98.11227536201477,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_sum_head__l2_0p0001
mode_sum_head__l2_0p01,sum_head,0.01,-0.00020902375839199324,-0.003192231874881892,0.001860020375842241,0.026783999973223355,0.0014852557847683805,0.09107646728689943,-0.00022317591656357313,-0.016571153231732298,0.006522734581630618,0.09869413107229923,0.024179467742482794,0.2630175485124291,0.003461456985260333,0.22504292855853533,0.007206190738021328,0.1991400360494289,278899,176666,278899,105.65677189826965,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_sum_head__l2_0p01
mode_sum_head__l2_0p1,sum_head,0.1,-0.00020902375839199324,-0.003192231874881892,0.001860020375842241,0.026783999973223355,0.0014852557847683805,0.09107646728689943,-0.00022317591656357313,-0.016571153231732298,0.006522734581630618,0.09869413107229923,0.024179467742482794,0.2630175485124291,0.003461456985260333,0.22504292855853533,0.007206190738021328,0.1991400360494289,278899,176666,278899,102.07172727584839,/home/jyu197/LLMCrossSec/outputs/grid_search_linear_modes_v2/mode_sum_head__l2_0p1
